campaign_id,campaign_type,discount_bracket,impressions,conversions,start_date,end_date
9,Referral,0%,1141,13,2024-03-15,2024-03-29
2,Referral,21-30%,123,1,2024-09-10,2024-09-26
6,Category Push,11-20%,2154,45,2025-07-18,2025-08-01
8,Festival,0%,163,2,2025-03-28,2025-04-14
12,Flash Sale,11-20%,2425,43,2025-06-25,2025-07-04
6,Category Push,11-20%,2712,45,2025-07-18,2025-08-01
3,New User,21-30%,2578,58,2025-05-12,2025-05-25
5,Festival,11-20%,3780,62,2024-02-24,2024-03-05
12,Flash Sale,11-20%,3687,77,2025-06-25,2025-07-04
8,Festival,31-50%,3412,73,2025-03-28,2025-04-14
4,New User,11-20%,1163,17,2025-02-11,2025-02-19
8,Festival,1-10%,3071,38,2025-03-28,2025-04-14
4,New User,21-30%,2595,61,2025-02-11,2025-02-19
12,Flash Sale,21-30%,1201,22,2025-06-25,2025-07-04
6,Category Push,11-20%,4108,78,2025-07-18,2025-08-01
3,New User,21-30%,685,15,2025-05-12,2025-05-25
8,Festival,11-20%,315,7,2025-03-28,2025-04-14
6,Category Push,1-10%,3551,46,2025-07-18,2025-08-01
5,Festival,0%,4167,37,2024-02-24,2024-03-05
2,Referral,21-30%,2771,56,2024-09-10,2024-09-26
9,Referral,21-30%,2951,62,2024-03-15,2024-03-29
9,Referral,21-30%,627,17,2024-03-15,2024-03-29
5,Festival,11-20%,2856,39,2024-02-24,2024-03-05
10,Flash Sale,11-20%,1231,20,2024-09-15,2024-10-04
2,Referral,1-10%,1663,25,2024-09-10,2024-09-26
12,Flash Sale,11-20%,971,12,2025-06-25,2025-07-04
12,Flash Sale,21-30%,1682,32,2025-06-25,2025-07-04
4,New User,1-10%,2061,28,2025-02-11,2025-02-19
8,Festival,21-30%,1922,36,2025-03-28,2025-04-14
12,Flash Sale,1-10%,4393,60,2025-06-25,2025-07-04
1,Clearance,21-30%,1196,36,2025-03-28,2025-04-05
8,Festival,21-30%,2679,67,2025-03-28,2025-04-14
6,Category Push,1-10%,4851,68,2025-07-18,2025-08-01
9,Referral,11-20%,4133,75,2024-03-15,2024-03-29
7,Payday,1-10%,4525,56,2025-03-13,2025-03-31
6,Category Push,0%,3320,31,2025-07-18,2025-08-01
8,Festival,31-50%,2338,44,2025-03-28,2025-04-14
9,Referral,1-10%,651,6,2024-03-15,2024-03-29
5,Festival,21-30%,524,14,2024-02-24,2024-03-05
10,Flash Sale,21-30%,2249,39,2024-09-15,2024-10-04
8,Festival,11-20%,2102,38,2025-03-28,2025-04-14
8,Festival,11-20%,979,20,2025-03-28,2025-04-14
3,New User,31-50%,4182,120,2025-05-12,2025-05-25
7,Payday,11-20%,1281,28,2025-03-13,2025-03-31
4,New User,1-10%,4270,46,2025-02-11,2025-02-19
9,Referral,21-30%,3214,64,2024-03-15,2024-03-29
10,Flash Sale,11-20%,3522,65,2024-09-15,2024-10-04
8,Festival,1-10%,1773,26,2025-03-28,2025-04-14
11,Payday,21-30%,3372,90,2024-08-02,2024-08-16
1,Clearance,11-20%,100,4,2025-03-28,2025-04-05
10,Flash Sale,21-30%,1931,51,2024-09-15,2024-10-04
2,Referral,0%,364,4,2024-09-10,2024-09-26
7,Payday,0%,4303,13,2025-03-13,2025-03-31
5,Festival,0%,1112,16,2024-02-24,2024-03-05
9,Referral,21-30%,1074,29,2024-03-15,2024-03-29
2,Referral,1-10%,122,3,2024-09-10,2024-09-26
1,Clearance,11-20%,4309,83,2025-03-28,2025-04-05
5,Festival,1-10%,3474,44,2024-02-24,2024-03-05
11,Payday,1-10%,1853,21,2024-08-02,2024-08-16
4,New User,0%,3866,43,2025-02-11,2025-02-19
8,Festival,1-10%,422,5,2025-03-28,2025-04-14
5,Festival,21-30%,2205,50,2024-02-24,2024-03-05
7,Payday,11-20%,2688,55,2025-03-13,2025-03-31
5,Festival,0%,1269,14,2024-02-24,2024-03-05
11,Payday,0%,1701,16,2024-08-02,2024-08-16
12,Flash Sale,1-10%,699,9,2025-06-25,2025-07-04
12,Flash Sale,1-10%,2472,37,2025-06-25,2025-07-04
7,Payday,1-10%,1607,24,2025-03-13,2025-03-31
8,Festival,21-30%,3413,76,2025-03-28,2025-04-14
4,New User,1-10%,1310,16,2025-02-11,2025-02-19
10,Flash Sale,31-50%,927,19,2024-09-15,2024-10-04
10,Flash Sale,1-10%,190,3,2024-09-15,2024-10-04
12,Flash Sale,11-20%,4013,86,2025-06-25,2025-07-04
1,Clearance,11-20%,3779,68,2025-03-28,2025-04-05
10,Flash Sale,31-50%,2805,56,2024-09-15,2024-10-04
4,New User,0%,3539,31,2025-02-11,2025-02-19
6,Category Push,1-10%,4058,58,2025-07-18,2025-08-01
8,Festival,21-30%,700,14,2025-03-28,2025-04-14
2,Referral,0%,1610,9,2024-09-10,2024-09-26
2,Referral,21-30%,3622,80,2024-09-10,2024-09-26
11,Payday,11-20%,4895,88,2024-08-02,2024-08-16
1,Clearance,1-10%,1401,26,2025-03-28,2025-04-05
12,Flash Sale,11-20%,684,11,2025-06-25,2025-07-04
10,Flash Sale,1-10%,1705,32,2024-09-15,2024-10-04
1,Clearance,11-20%,3121,73,2025-03-28,2025-04-05
8,Festival,1-10%,825,10,2025-03-28,2025-04-14
4,New User,0%,3943,31,2025-02-11,2025-02-19
8,Festival,0%,993,7,2025-03-28,2025-04-14
7,Payday,1-10%,2311,35,2025-03-13,2025-03-31
11,Payday,21-30%,2244,31,2024-08-02,2024-08-16
11,Payday,1-10%,4337,77,2024-08-02,2024-08-16
1,Clearance,21-30%,3219,34,2025-03-28,2025-04-05
6,Category Push,11-20%,1493,28,2025-07-18,2025-08-01
10,Flash Sale,11-20%,2329,29,2024-09-15,2024-10-04
3,New User,31-50%,1184,35,2025-05-12,2025-05-25
4,New User,11-20%,907,17,2025-02-11,2025-02-19
6,Category Push,11-20%,1518,38,2025-07-18,2025-08-01
5,Festival,0%,1510,13,2024-02-24,2024-03-05
7,Payday,21-30%,3823,111,2025-03-13,2025-03-31
8,Festival,0%,1151,14,2025-03-28,2025-04-14
4,New User,0%,3091,23,2025-02-11,2025-02-19
4,New User,1-10%,3007,51,2025-02-11,2025-02-19
1,Clearance,21-30%,4322,107,2025-03-28,2025-04-05
8,Festival,31-50%,606,12,2025-03-28,2025-04-14
4,New User,0%,2400,29,2025-02-11,2025-02-19
10,Flash Sale,11-20%,987,22,2024-09-15,2024-10-04
8,Festival,11-20%,493,19,2025-03-28,2025-04-14
10,Flash Sale,1-10%,534,6,2024-09-15,2024-10-04
11,Payday,11-20%,375,4,2024-08-02,2024-08-16
8,Festival,0%,4212,45,2025-03-28,2025-04-14
1,Clearance,0%,694,5,2025-03-28,2025-04-05
8,Festival,1-10%,624,9,2025-03-28,2025-04-14
1,Clearance,0%,3262,26,2025-03-28,2025-04-05
6,Category Push,1-10%,899,17,2025-07-18,2025-08-01
6,Category Push,1-10%,3378,47,2025-07-18,2025-08-01
6,Category Push,1-10%,462,4,2025-07-18,2025-08-01
7,Payday,21-30%,3728,68,2025-03-13,2025-03-31
7,Payday,1-10%,240,5,2025-03-13,2025-03-31
1,Clearance,1-10%,350,2,2025-03-28,2025-04-05
2,Referral,11-20%,1620,22,2024-09-10,2024-09-26
6,Category Push,1-10%,1693,30,2025-07-18,2025-08-01
10,Flash Sale,0%,798,7,2024-09-15,2024-10-04
4,New User,11-20%,938,23,2025-02-11,2025-02-19
10,Flash Sale,11-20%,4068,94,2024-09-15,2024-10-04
8,Festival,1-10%,870,5,2025-03-28,2025-04-14
6,Category Push,1-10%,356,0,2025-07-18,2025-08-01
2,Referral,1-10%,3649,38,2024-09-10,2024-09-26
12,Flash Sale,1-10%,3547,54,2025-06-25,2025-07-04
6,Category Push,1-10%,687,9,2025-07-18,2025-08-01
9,Referral,1-10%,1399,13,2024-03-15,2024-03-29
2,Referral,1-10%,1819,36,2024-09-10,2024-09-26
1,Clearance,1-10%,1655,31,2025-03-28,2025-04-05
8,Festival,0%,2341,18,2025-03-28,2025-04-14
8,Festival,1-10%,1015,14,2025-03-28,2025-04-14
9,Referral,1-10%,3219,54,2024-03-15,2024-03-29
12,Flash Sale,1-10%,139,0,2025-06-25,2025-07-04
3,New User,1-10%,966,12,2025-05-12,2025-05-25
7,Payday,0%,2594,27,2025-03-13,2025-03-31
12,Flash Sale,0%,2065,15,2025-06-25,2025-07-04
7,Payday,11-20%,2984,26,2025-03-13,2025-03-31
5,Festival,11-20%,3124,68,2024-02-24,2024-03-05
4,New User,0%,1595,13,2025-02-11,2025-02-19
6,Category Push,11-20%,1037,29,2025-07-18,2025-08-01
12,Flash Sale,1-10%,3857,58,2025-06-25,2025-07-04
3,New User,11-20%,2250,44,2025-05-12,2025-05-25
8,Festival,11-20%,4703,97,2025-03-28,2025-04-14
3,New User,21-30%,4323,135,2025-05-12,2025-05-25
2,Referral,1-10%,1032,14,2024-09-10,2024-09-26
1,Clearance,11-20%,1131,21,2025-03-28,2025-04-05
9,Referral,0%,4210,48,2024-03-15,2024-03-29
2,Referral,21-30%,610,14,2024-09-10,2024-09-26
11,Payday,0%,2796,17,2024-08-02,2024-08-16
12,Flash Sale,0%,2301,18,2025-06-25,2025-07-04
4,New User,0%,3066,25,2025-02-11,2025-02-19
4,New User,0%,2859,21,2025-02-11,2025-02-19
5,Festival,11-20%,3027,48,2024-02-24,2024-03-05
9,Referral,1-10%,1227,13,2024-03-15,2024-03-29
2,Referral,21-30%,2982,58,2024-09-10,2024-09-26
11,Payday,1-10%,4160,49,2024-08-02,2024-08-16
1,Clearance,1-10%,249,6,2025-03-28,2025-04-05
3,New User,21-30%,2364,59,2025-05-12,2025-05-25
6,Category Push,1-10%,2547,51,2025-07-18,2025-08-01
11,Payday,21-30%,1903,45,2024-08-02,2024-08-16
5,Festival,11-20%,4024,60,2024-02-24,2024-03-05
4,New User,11-20%,4386,99,2025-02-11,2025-02-19
9,Referral,1-10%,3921,42,2024-03-15,2024-03-29
4,New User,21-30%,1963,52,2025-02-11,2025-02-19
9,Referral,21-30%,251,3,2024-03-15,2024-03-29
6,Category Push,0%,4305,24,2025-07-18,2025-08-01
5,Festival,21-30%,1245,29,2024-02-24,2024-03-05
7,Payday,0%,2691,23,2025-03-13,2025-03-31
8,Festival,0%,3046,32,2025-03-28,2025-04-14
8,Festival,11-20%,4512,66,2025-03-28,2025-04-14
11,Payday,11-20%,4624,98,2024-08-02,2024-08-16
12,Flash Sale,1-10%,4499,71,2025-06-25,2025-07-04
3,New User,0%,1745,26,2025-05-12,2025-05-25
9,Referral,21-30%,1714,54,2024-03-15,2024-03-29
9,Referral,0%,4336,33,2024-03-15,2024-03-29
2,Referral,1-10%,2104,15,2024-09-10,2024-09-26
2,Referral,1-10%,1048,23,2024-09-10,2024-09-26
1,Clearance,21-30%,1265,28,2025-03-28,2025-04-05
5,Festival,11-20%,1673,36,2024-02-24,2024-03-05
12,Flash Sale,0%,3724,26,2025-06-25,2025-07-04
12,Flash Sale,11-20%,4209,91,2025-06-25,2025-07-04
7,Payday,11-20%,2023,52,2025-03-13,2025-03-31
9,Referral,11-20%,2649,52,2024-03-15,2024-03-29
8,Festival,0%,1519,20,2025-03-28,2025-04-14
4,New User,0%,4866,39,2025-02-11,2025-02-19
12,Flash Sale,11-20%,2922,59,2025-06-25,2025-07-04
1,Clearance,1-10%,4112,82,2025-03-28,2025-04-05
9,Referral,0%,2655,26,2024-03-15,2024-03-29
1,Clearance,0%,3585,25,2025-03-28,2025-04-05
5,Festival,21-30%,1822,40,2024-02-24,2024-03-05
10,Flash Sale,11-20%,4692,93,2024-09-15,2024-10-04
6,Category Push,31-50%,3087,65,2025-07-18,2025-08-01
3,New User,0%,3469,35,2025-05-12,2025-05-25
2,Referral,1-10%,2608,36,2024-09-10,2024-09-26
9,Referral,31-50%,2649,50,2024-03-15,2024-03-29
4,New User,1-10%,4465,67,2025-02-11,2025-02-19
9,Referral,1-10%,2346,23,2024-03-15,2024-03-29
5,Festival,11-20%,3769,51,2024-02-24,2024-03-05
7,Payday,11-20%,2229,42,2025-03-13,2025-03-31
7,Payday,1-10%,3448,35,2025-03-13,2025-03-31
12,Flash Sale,1-10%,4110,54,2025-06-25,2025-07-04
7,Payday,11-20%,788,10,2025-03-13,2025-03-31
10,Flash Sale,0%,3565,35,2024-09-15,2024-10-04
11,Payday,0%,3818,44,2024-08-02,2024-08-16
11,Payday,1-10%,599,9,2024-08-02,2024-08-16
5,Festival,21-30%,901,26,2024-02-24,2024-03-05
9,Referral,11-20%,3492,57,2024-03-15,2024-03-29
2,Referral,1-10%,3069,49,2024-09-10,2024-09-26
11,Payday,0%,1798,19,2024-08-02,2024-08-16
6,Category Push,0%,1729,17,2025-07-18,2025-08-01
5,Festival,1-10%,1461,23,2024-02-24,2024-03-05
4,New User,11-20%,1105,18,2025-02-11,2025-02-19
12,Flash Sale,1-10%,2950,40,2025-06-25,2025-07-04
11,Payday,0%,472,7,2024-08-02,2024-08-16
12,Flash Sale,0%,4038,39,2025-06-25,2025-07-04
4,New User,1-10%,85,2,2025-02-11,2025-02-19
7,Payday,11-20%,4461,66,2025-03-13,2025-03-31
6,Category Push,0%,4144,43,2025-07-18,2025-08-01
1,Clearance,1-10%,2258,34,2025-03-28,2025-04-05
6,Category Push,11-20%,3806,90,2025-07-18,2025-08-01
11,Payday,1-10%,906,12,2024-08-02,2024-08-16
3,New User,21-30%,3898,114,2025-05-12,2025-05-25
10,Flash Sale,1-10%,3100,55,2024-09-15,2024-10-04
11,Payday,21-30%,4358,116,2024-08-02,2024-08-16
8,Festival,21-30%,4702,131,2025-03-28,2025-04-14
5,Festival,21-30%,264,4,2024-02-24,2024-03-05
4,New User,21-30%,2999,94,2025-02-11,2025-02-19
2,Referral,0%,2541,33,2024-09-10,2024-09-26
1,Clearance,11-20%,3410,64,2025-03-28,2025-04-05
12,Flash Sale,0%,1497,14,2025-06-25,2025-07-04
5,Festival,0%,1548,17,2024-02-24,2024-03-05
5,Festival,11-20%,2751,45,2024-02-24,2024-03-05
10,Flash Sale,1-10%,4456,65,2024-09-15,2024-10-04
10,Flash Sale,31-50%,3206,49,2024-09-15,2024-10-04
9,Referral,1-10%,2795,46,2024-03-15,2024-03-29
11,Payday,1-10%,3222,49,2024-08-02,2024-08-16
4,New User,0%,2574,21,2025-02-11,2025-02-19
2,Referral,11-20%,1916,41,2024-09-10,2024-09-26
1,Clearance,11-20%,4509,104,2025-03-28,2025-04-05
2,Referral,1-10%,3120,33,2024-09-10,2024-09-26
1,Clearance,0%,263,3,2025-03-28,2025-04-05
4,New User,0%,2159,20,2025-02-11,2025-02-19
2,Referral,1-10%,1687,23,2024-09-10,2024-09-26
9,Referral,1-10%,231,6,2024-03-15,2024-03-29
4,New User,11-20%,1464,19,2025-02-11,2025-02-19
12,Flash Sale,0%,2002,14,2025-06-25,2025-07-04
11,Payday,21-30%,4839,119,2024-08-02,2024-08-16
9,Referral,0%,3329,40,2024-03-15,2024-03-29
9,Referral,21-30%,1507,21,2024-03-15,2024-03-29
2,Referral,0%,3387,26,2024-09-10,2024-09-26
5,Festival,0%,672,9,2024-02-24,2024-03-05
6,Category Push,0%,4784,36,2025-07-18,2025-08-01
1,Clearance,1-10%,1139,26,2025-03-28,2025-04-05
2,Referral,0%,4150,42,2024-09-10,2024-09-26
9,Referral,21-30%,1240,21,2024-03-15,2024-03-29
9,Referral,0%,2416,23,2024-03-15,2024-03-29
9,Referral,11-20%,629,13,2024-03-15,2024-03-29
5,Festival,1-10%,292,2,2024-02-24,2024-03-05
10,Flash Sale,11-20%,3661,85,2024-09-15,2024-10-04
9,Referral,21-30%,2939,68,2024-03-15,2024-03-29
12,Flash Sale,1-10%,1849,23,2025-06-25,2025-07-04
6,Category Push,1-10%,2770,28,2025-07-18,2025-08-01
9,Referral,21-30%,3328,47,2024-03-15,2024-03-29
6,Category Push,0%,489,3,2025-07-18,2025-08-01
10,Flash Sale,21-30%,3208,65,2024-09-15,2024-10-04
4,New User,11-20%,900,12,2025-02-11,2025-02-19
5,Festival,21-30%,410,3,2024-02-24,2024-03-05
5,Festival,1-10%,3680,63,2024-02-24,2024-03-05
2,Referral,11-20%,910,19,2024-09-10,2024-09-26
10,Flash Sale,1-10%,1298,16,2024-09-15,2024-10-04
12,Flash Sale,21-30%,4097,78,2025-06-25,2025-07-04
5,Festival,11-20%,3677,79,2024-02-24,2024-03-05
6,Category Push,21-30%,2225,49,2025-07-18,2025-08-01
12,Flash Sale,11-20%,1813,34,2025-06-25,2025-07-04
8,Festival,11-20%,2338,46,2025-03-28,2025-04-14
6,Category Push,0%,259,1,2025-07-18,2025-08-01
2,Referral,21-30%,1623,32,2024-09-10,2024-09-26
8,Festival,1-10%,4250,89,2025-03-28,2025-04-14
11,Payday,11-20%,1982,46,2024-08-02,2024-08-16
1,Clearance,1-10%,3378,47,2025-03-28,2025-04-05
3,New User,1-10%,3911,38,2025-05-12,2025-05-25
11,Payday,0%,1486,18,2024-08-02,2024-08-16
7,Payday,0%,4908,39,2025-03-13,2025-03-31
8,Festival,0%,274,4,2025-03-28,2025-04-14
11,Payday,1-10%,3724,64,2024-08-02,2024-08-16
9,Referral,11-20%,1293,29,2024-03-15,2024-03-29
2,Referral,1-10%,925,15,2024-09-10,2024-09-26
4,New User,0%,4214,50,2025-02-11,2025-02-19
1,Clearance,0%,995,6,2025-03-28,2025-04-05
5,Festival,1-10%,3454,59,2024-02-24,2024-03-05
2,Referral,1-10%,909,9,2024-09-10,2024-09-26
3,New User,0%,367,4,2025-05-12,2025-05-25
2,Referral,11-20%,1032,22,2024-09-10,2024-09-26
7,Payday,11-20%,1819,36,2025-03-13,2025-03-31
1,Clearance,0%,1783,22,2025-03-28,2025-04-05
9,Referral,1-10%,4924,79,2024-03-15,2024-03-29
11,Payday,21-30%,370,12,2024-08-02,2024-08-16
12,Flash Sale,11-20%,173,6,2025-06-25,2025-07-04
4,New User,1-10%,1783,27,2025-02-11,2025-02-19
7,Payday,0%,2549,30,2025-03-13,2025-03-31
6,Category Push,1-10%,2662,40,2025-07-18,2025-08-01
9,Referral,1-10%,165,1,2024-03-15,2024-03-29
3,New User,11-20%,2351,59,2025-05-12,2025-05-25
6,Category Push,1-10%,4894,96,2025-07-18,2025-08-01
6,Category Push,1-10%,2912,38,2025-07-18,2025-08-01
2,Referral,1-10%,3312,56,2024-09-10,2024-09-26
6,Category Push,21-30%,1128,31,2025-07-18,2025-08-01
1,Clearance,21-30%,562,8,2025-03-28,2025-04-05
9,Referral,1-10%,4031,50,2024-03-15,2024-03-29
12,Flash Sale,31-50%,1203,38,2025-06-25,2025-07-04
7,Payday,21-30%,1453,20,2025-03-13,2025-03-31
2,Referral,1-10%,3801,31,2024-09-10,2024-09-26
4,New User,11-20%,4090,61,2025-02-11,2025-02-19
10,Flash Sale,21-30%,1284,49,2024-09-15,2024-10-04
9,Referral,0%,1008,7,2024-03-15,2024-03-29
11,Payday,1-10%,4975,75,2024-08-02,2024-08-16
7,Payday,21-30%,2156,68,2025-03-13,2025-03-31
12,Flash Sale,0%,697,4,2025-06-25,2025-07-04
8,Festival,0%,3037,22,2025-03-28,2025-04-14
11,Payday,0%,2315,24,2024-08-02,2024-08-16
2,Referral,1-10%,4007,51,2024-09-10,2024-09-26
4,New User,11-20%,2731,56,2025-02-11,2025-02-19
8,Festival,11-20%,4977,81,2025-03-28,2025-04-14
11,Payday,21-30%,1987,47,2024-08-02,2024-08-16
4,New User,0%,2739,21,2025-02-11,2025-02-19
12,Flash Sale,1-10%,4721,55,2025-06-25,2025-07-04
7,Payday,1-10%,4476,70,2025-03-13,2025-03-31
8,Festival,1-10%,1174,13,2025-03-28,2025-04-14
8,Festival,11-20%,2713,70,2025-03-28,2025-04-14
9,Referral,0%,4481,41,2024-03-15,2024-03-29
11,Payday,11-20%,820,15,2024-08-02,2024-08-16
3,New User,21-30%,1542,53,2025-05-12,2025-05-25
10,Flash Sale,0%,3385,25,2024-09-15,2024-10-04
3,New User,11-20%,2435,46,2025-05-12,2025-05-25
8,Festival,1-10%,3706,62,2025-03-28,2025-04-14
4,New User,0%,4293,38,2025-02-11,2025-02-19
6,Category Push,11-20%,4243,116,2025-07-18,2025-08-01
4,New User,1-10%,1938,13,2025-02-11,2025-02-19
8,Festival,11-20%,2991,57,2025-03-28,2025-04-14
7,Payday,0%,1482,14,2025-03-13,2025-03-31
8,Festival,11-20%,4730,81,2025-03-28,2025-04-14
6,Category Push,1-10%,2559,46,2025-07-18,2025-08-01
2,Referral,11-20%,2831,79,2024-09-10,2024-09-26
12,Flash Sale,0%,3019,27,2025-06-25,2025-07-04
5,Festival,0%,3548,40,2024-02-24,2024-03-05
9,Referral,21-30%,130,2,2024-03-15,2024-03-29
1,Clearance,11-20%,651,14,2025-03-28,2025-04-05
7,Payday,0%,216,1,2025-03-13,2025-03-31
5,Festival,0%,466,5,2024-02-24,2024-03-05
6,Category Push,1-10%,1663,12,2025-07-18,2025-08-01
3,New User,1-10%,3022,33,2025-05-12,2025-05-25
10,Flash Sale,21-30%,1757,47,2024-09-15,2024-10-04
2,Referral,21-30%,3963,97,2024-09-10,2024-09-26
3,New User,31-50%,4748,131,2025-05-12,2025-05-25
3,New User,21-30%,3077,61,2025-05-12,2025-05-25
6,Category Push,1-10%,1111,13,2025-07-18,2025-08-01
8,Festival,11-20%,2829,49,2025-03-28,2025-04-14
4,New User,21-30%,69,1,2025-02-11,2025-02-19
2,Referral,11-20%,2219,59,2024-09-10,2024-09-26
12,Flash Sale,21-30%,1511,32,2025-06-25,2025-07-04
2,Referral,0%,2363,32,2024-09-10,2024-09-26
11,Payday,1-10%,4945,52,2024-08-02,2024-08-16
3,New User,0%,2161,19,2025-05-12,2025-05-25
8,Festival,21-30%,619,12,2025-03-28,2025-04-14
4,New User,1-10%,3750,74,2025-02-11,2025-02-19
12,Flash Sale,0%,1177,10,2025-06-25,2025-07-04
12,Flash Sale,1-10%,242,2,2025-06-25,2025-07-04
